qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
HyS0001.9	720.5020133966715	57.59905434891498	100	17235	1.0356706920970093	0.2970683557582259	0.0011829093240552345	Palmitoyltransferase	ZDHHC17
HyS0001.23	612.4057501808662	8.459797417450245	24	5695	0.8405343614368357	0.01051209639034827	3.251388022871892e-05	Histone-lysine N-methyltransferase	
HyS0001.27	2272.8052972690343	59.48776108586506	98	1696	1.5195631224138102	0.038567328638380825	1.5966392729960056e-05	Eukaryotic translation initiation factor 3 subunit G	EIF3G
HyS0001.30	3.0060796917957395e-11	0.3039770764264879	1	491	0.5908806138595483	0.001661535035693027	1.4530951006025684e-08	Carbohydrate-binding module family 1 protein	
HyS0001.31	432.3772620665652	42.88173960482449	70	33472	0.8020609556568938	0.07379239466518324	4.082886028688008e-06	Valyl-tRNA synthetase	VARS
HyS0001.33	1014.7285340174376	62.691335434267295	99	8604	1.0816267065795149	0.16176288890976745	4.809251814947823e-05	Ubiquitin carboxyl-terminal hydrolase	UCHL5
HyS0001.35	1411.3823795830874	70.18652872444578	97	4353	1.1878297354259613	0.06278287979122975	9.286516872564083e-05	Casein kinase II subunit beta	
HyS0001.36	1.246923580831806e-14	0.4811761458688395	1	3	0.5904581388905327	0.0008644091241699795	1.027361305586609e-07	Cancer susceptibility candidate protein 1 (Fragment)	
HyS0001.37	1.8965701522773794e-13	0.43939650944335124	1	39	0.5962831683643037	0.011855034411425389	6.312412539649818e-09	Putative DNA polymerase (Fragment)	
HyS0001.38	4953.739594984032	41.16146843177431	76	276	2.6477106043351317	0.14369817542424043	0.0027366683335766904	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta	SYCP3
HyS0001.39	1771.1034537073124	1.6603725588193652	4	109	1.299158591130439	0.0013532012775073006	6.485217518806209e-07	Kinase C and casein kinase substrate in neurons protein 2	
HyS0001.40	5067.384662713649	39.97142378733962	79	275	2.630504286129683	0.0255655852882071	3.304207366261626e-05	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein isoform A	NOS1AP
HyS0001.44	3508.781091285262	29.670256470177424	54	392	2.023669377985679	0.05680546708132606	0.002502195923592098	Serine/threonine-protein kinase BRSK2 (inferred by orthology to a human protein)	
HyS0001.47	2040.8951638355704	0.5832091752584855	2	43	1.4141092953258303	0.014624940730203888	5.602297030049797e-07	Neurofilament, light polypeptide b	NEFLB
HyS0001.56	4369.796479410137	25.69810725012358	50	233	2.3937103766838086	0.10507427082144949	0.005121069219278704	Folliculin	FLCN
HyS0001.57	2461.0478076907184	43.28071879254547	75	1106	1.6359256311419212	0.11602583710603688	0.0006407199717175863	Lysosomal alpha-glucosidase	
HyS0001.58	6.035109322527814e-14	0.4520624979167962	1	22	0.7221188670343569	0.24919974391805377	0.0021501378894250456	Rho GTPase-activating protein 100F	
HyS0001.59	857.6835411504604	0.7373681839460879	3	365	0.9385288114387471	0.010293185190430362	3.41381742353903e-07	Collagen alpha-1(XII) chain	
HyS0001.60	2088.0904355809994	10.696147884493328	19	388	1.4657031483637082	0.07635212266643779	1.7455904813888735e-05	Signal peptidase complex subunit 2	SPCS2
HyS0001.62	141.82836377419514	27.45880302664623	44	195320	0.6682613334475234	0.040622579766551745	1.033078642693022e-06	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	
HyS0001.63	181.72064015435353	32.545565103918875	65	175820	0.6876432707011103	0.047084849864633224	2.2105556666490335e-06	Isovaleryl Coenzyme A dehydrogenase	IVD
HyS0001.64	178.68200811659216	43.0154771204692	69	192581	0.7083415037091753	0.08843144319866879	1.7783621978763583e-06	Isovaleryl Coenzyme A dehydrogenase	IVD
HyS0001.67	1475.7809106178681	1.8600583474378076	4	164	1.1877309636689626	0.013997145846763275	5.606151532153136e-06	Disintegrin and metalloproteinase domain-containing protein 10 (Fragment)	
HyS0001.68	723.702638788155	9.41869041611953	16	2704	0.884053165248368	0.008625548066128207	2.8462902898806698e-05	Histone CENP-A	
HyS0001.69	5573.498884440846	43.296072445927834	83	239	2.8475246153551406	0.05302342638808357	0.0011322796558859947	ubiquitin-conjugating enzyme E2 Z	UBE2Z
HyS0001.70	1759.7631270187978	15.832604212431528	31	895	1.3232954524329896	0.0554530284754149	4.826675033812195e-06	DNL-type zinc finger	DNLZ
HyS0001.71	276.3812203442513	15.94504916779111	30	35078	0.7481836772289696	0.08987006533437984	2.7232023844684e-06	Aminoacyl-tRNA hydrolase	PTH
HyS0001.72	850.7773265499651	3.529705383491147	8	802	0.9327947150801454	0.004686275556504566	2.920760601426751e-06	Ankyrin repeat domain-containing protein 50	
HyS0001.76	5180.381003499218	1.157271834747141	3	8	2.664788248550323	0.004973178748629471	3.1206931177379194e-06	Seminal plasma protein 2	
HyS0001.77	4431.513425077532	39.582116413012	79	359	2.383688825564123	0.03977520334848175	0.00012988792075859174	Component of oligomeric golgi complex 7	COG7
HyS0001.79	1780.099753066385	4.676529165914866	9	252	1.3120690353678097	0.018922818911895397	2.005897566351366e-06	Vesicle-associated membrane protein 4	
HyS0001.80	997.6265624791324	0.7709709481147814	2	179	0.9916171358868459	0.004842473257671431	3.431348389309745e-09	Choice-of-anchor A domain-containing protein	
HyS0001.82	3612.763724146385	41.00435809853107	82	559	2.072779829524903	0.0710685526037382	0.00040034931839313053	Laminin subunit gamma-1	LAMC3
HyS0001.86	4466.307306218622	50.77200726177607	90	404	2.413282570362929	0.06935676891597861	2.8017500563513605e-05	Phosphoinositide-3-kinase regulatory subunit 4	PIK3R4
