gene_id,best_BLAST_hit,eval,pannzer_description,pannzer_gene_name,molecular_function,biological_processes,cellular_component
Hsym|HyS0001.1,RMX49996.1_hypothetical_protein_pdam_00016666_[Pocillopora_damicornis],6.00E-10,NA,NA,NA,NA,NA
Hsym|HyS0001.3,XP_002154269.2_PREDICTED:_protein_SPT2_homolog_[Hydra_vulgaris],1.30E-11,NA,NA,NA,NA,NA
Hsym|HyS0001.4,XP_002154269.2_PREDICTED:_protein_SPT2_homolog_[Hydra_vulgaris],2.40E-12,NA,NA,NA,NA,NA
Hsym|HyS0001.6,XP_002591467.1_hypothetical_protein_BRAFLDRAFT_105240_[Branchiostoma_floridae],3.90E-11,NA,NA,NA,NA,NA
Hsym|HyS0001.7,XP_022289926.1_uncharacterized_protein_LOC111101643_isoform_X1_[Crassostrea_virginica],2.50E-37,NA,NA,NA,NA,NA
Hsym|HyS0001.9,XP_002162876.2_PREDICTED:_uncharacterized_protein_LOC100213942_[Hydra_vulgaris],6.30E-181,Palmitoyltransferase,ZDHHC17,protein-cysteine_S-palmitoyltransferase_activity,magnesium_ion_transmembrane_transport,integral_component_of_membrane
Hsym|HyS0001.10,KXJ21442.1_Transposon_Ty3-I_Gag-Pol_polyprotein_[Exaiptasia_pallida],9.30E-09,NA,NA,NA,NA,NA
Hsym|HyS0001.11,PFX24545.1_hypothetical_protein_AWC38_SpisGene10853_[Stylophora_pistillata],5.40E-58,ZAD_domain-containing_protein,NA,zinc_ion_binding,NA,nucleus
Hsym|HyS0001.12,KXJ19670.1_AT-hook-containing_transcription_factor_[Exaiptasia_pallida],1.70E-11,NA,NA,NA,NA,NA
Hsym|HyS0001.13,"KXJ04647.1_hypothetical_protein_AC249_AIPGENE3338,_partial_[Exaiptasia_pallida]",9.50E-13,NA,NA,NA,NA,NA
Hsym|HyS0001.14,XP_001620875.1_hypothetical_protein_NEMVEDRAFT_v1g222621_[Nematostella_vectensis],1.50E-14,NA,NA,NA,NA,NA
Hsym|HyS0001.16,XP_028404838.1_uncharacterized_protein_LOC114527411_[Dendronephthya_gigantea],1.80E-04,NA,NA,NA,NA,NA
Hsym|HyS0001.17,XP_012558214.1_PREDICTED:_uncharacterized_protein_LOC100208347_isoform_X1_[Hydra_vulgaris],1.00E-34,NA,NA,NA,NA,NA
Hsym|HyS0001.21,XP_022800754.1_uncharacterized_protein_LOC111338505_[Stylophora_pistillata],1.80E-19,NA,NA,NA,NA,NA
